date;store;type;pallets
07/may;2;FRESH GOODS;29
02/may;2;FRESH GOODS;35
03/may;2;FRESH GOODS;38
07/may;2;DRY GOODS;39
04/may;2;FRESH GOODS;47
06/may;2;FRESH GOODS;50
06/may;2;DRY GOODS;77
02/may;2;DRY GOODS;91
05/may;2;DRY GOODS;92
05/may;2;FRESH GOODS;94
04/may;2;DRY GOODS;106
03/may;2;DRY GOODS;113
07/may;3;FRESH GOODS;36
02/may;3;FRESH GOODS;38
03/may;3;FRESH GOODS;41
04/may;3;FRESH GOODS;48
05/may;3;FRESH GOODS;57
06/may;3;FRESH GOODS;57
06/may;3;DRY GOODS;69
02/may;3;DRY GOODS;97
04/may;3;DRY GOODS;97
05/may;3;DRY GOODS;97
03/may;3;DRY GOODS;108
03/may;5;FRESH GOODS;21
02/may;5;FRESH GOODS;25
04/may;5;FRESH GOODS;27
07/may;5;FRESH GOODS;30
05/may;5;FRESH GOODS;34
06/may;5;FRESH GOODS;39
06/may;5;DRY GOODS;49
02/may;5;DRY GOODS;69
05/may;5;DRY GOODS;73
04/may;5;DRY GOODS;81
03/may;5;DRY GOODS;106
07/may;7;FRESH GOODS;32
03/may;7;FRESH GOODS;38
02/may;7;FRESH GOODS;39
04/may;7;FRESH GOODS;46
05/may;7;FRESH GOODS;49
07/may;7;DRY GOODS;58
06/may;7;FRESH GOODS;59
06/may;7;DRY GOODS;62
05/may;7;DRY GOODS;101
02/may;7;DRY GOODS;105
03/may;7;DRY GOODS;119
04/may;7;DRY GOODS;124
07/may;9;FRESH GOODS;26
07/may;9;DRY GOODS;31
02/may;9;FRESH GOODS;38
04/may;9;FRESH GOODS;43
06/may;9;FRESH GOODS;46
05/may;9;FRESH GOODS;48
03/may;9;FRESH GOODS;52
06/may;9;DRY GOODS;66
04/may;9;DRY GOODS;75
02/may;9;DRY GOODS;82
05/may;9;DRY GOODS;90
03/may;9;DRY GOODS;93
02/may;11;FRESH GOODS;18
07/may;11;DRY GOODS;22
04/may;11;FRESH GOODS;23
03/may;11;FRESH GOODS;25
07/may;11;FRESH GOODS;25
