Code;Type;Group;Vehicle size limit
2;continente;7;SR33
3;continente;7;SR33
5;continente;1;SR33
7;continente;8;SR33
9;continente;7;SR33
11;continente;6;SR33
12;continente;7;SR33
13;continente;10;SR33
201;continente modelo;10;SR33
202;continente;10;SR33
205;continente modelo;3;SR33
206;continente modelo;8;SR33
207;continente;5;SR33
208;continente modelo;10;SR33
212;continente;2;SR33
213;continente modelo;4;SR33
214;continente modelo;4;SR33
215;continente;4;SR33
217;continente;5;SR33
218;continente modelo;2;SR33
220;continente modelo;4;SR33
221;continente modelo;3;SR33
223;continente modelo;6;SR33
229;continente modelo;2;SR33
232;continente modelo;7;SR33
233;continente modelo;10;SR33
234;continente modelo;6;SR33
237;continente modelo;4;SR33
238;continente modelo;4;SR33
240;continente modelo;6;SR33
241;continente modelo;2;SR33
246;continente modelo;7;SR33
251;continente modelo;10;SR33
252;continente modelo;10;SR33
253;continente modelo;8;SR33
255;continente modelo;8;SR33
256;continente modelo;8;SR33
258;continente modelo;10;SR33
259;continente modelo;8;SR33
260;continente modelo;2;SR33
266;continente modelo;4;SR33
269;continente modelo;1;SR33
270;continente modelo;4;SR33
271;continente modelo;7;SR33
278;continente modelo;8;SR33
279;continente modelo;2;SR33
283;continente modelo;9;SR33
284;continente modelo;5;SR33
289;continente modelo;6;SR33
291;continente modelo;5;SR33
294;continente modelo;8;SR33
296;continente modelo;8;SR33
297;continente modelo;4;SR33
298;continente modelo;3;SR33
303;continente bom dia;7;R13
309;continente bom dia;7;R13
312;continente bom dia;7;R13
313;continente bom dia;7;R13
320;continente bom dia;7;SR24
321;continente bom dia;7;R13
322;continente bom dia;7;R13
323;continente bom dia;7;SR24
327;continente bom dia;7;R13
331;continente bom dia;7;SR24
335;continente bom dia;8;SR24
336;continente bom dia;7;R13
375;continente modelo;3;SR33
379;continente modelo;7;SR33
389;continente modelo;6;SR33
439;continente;6;SR33
446;continente;10;SR33
461;continente;7;SR33
462;continente;8;SR33
463;continente;7;SR33
464;continente;7;SR33
468;continente;4;SR33
494;continente modelo;1;SR33
927;continente;8;SR33
1051;continente;10;SR33
1054;continente modelo;8;SR33
1057;continente modelo;6;SR33
1058;continente modelo;7;SR33
1391;continente modelo;4;SR33
1392;continente modelo;3;SR33
1397;continente bom dia;7;SR33
1415;continente modelo;7;SR33
1503;continente modelo;9;SR33
1700;continente modelo;10;SR33
1706;continente bom dia;7;R13
1707;continente bom dia;7;SR24
1715;continente bom dia;2;SR24
1902;continente bom dia;6;R13
1904;continente bom dia;7;SR33
1906;continente bom dia;8;SR33
1908;continente bom dia;6;SR24
1909;continente bom dia;7;SR33
1910;continente bom dia;4;SR33
1911;continente bom dia;8;SR33
1978;continente;10;SR33
1981;continente bom dia;7;SR33
1985;continente bom dia;7;SR24
2076;continente bom dia;7;SR24
2401;continente bom dia;7;R13
2596;continente bom dia;10;SR33
2632;continente bom dia;8;SR33
2692;continente bom dia;8;SR33
2756;continente bom dia;7;R13
2864;continente modelo;7;SR24
3191;continente modelo;10;SR33
3192;continente modelo;7;SR24
3332;continente bom dia;4;SR33
3368;continente bom dia;7;SR24
3386;continente bom dia;6;SR33
3387;continente modelo;6;SR33
3395;continente bom dia;9;SR33
3464;continente bom dia;5;SR33
3466;continente bom dia;8;SR33
3473;continente modelo;7;SR33
3573;continente bom dia;2;SR33
3583;continente bom dia;8;SR33
3585;continente bom dia;4;SR33
3594;continente bom dia;10;SR33
3696;continente bom dia;7;R13
3698;continente bom dia;1;SR33
3780;continente bom dia;7;R13
3886;continente modelo;7;SR33
4121;continente bom dia;1;SR33
4289;continente bom dia;10;SR33
4291;continente bom dia;7;R13
4321;continente bom dia;6;SR33
4322;continente bom dia;9;SR33
4327;continente bom dia;10;SR33
4508;continente bom dia;6;SR33
4526;continente bom dia;4;SR33
4573;continente bom dia;7;R13
4593;continente bom dia;7;R13
4696;continente bom dia;5;SR33
4860;continente bom dia;8;R13
4895;continente modelo;10;SR33
4902;continente bom dia;7;R13
5154;continente bom dia;7;SR33
5738;continente bom dia;7;R13
5746;continente bom dia;6;R13
5749;continente bom dia;10;SR33
5753;continente bom dia;7;R13
5759;continente bom dia;10;SR24
5763;continente bom dia;1;SR33
5766;continente bom dia;7;R13
5767;continente bom dia;7;SR24
5769;continente bom dia;2;SR33
6089;continente modelo;5;SR33
6091;continente modelo;7;SR33
6173;continente bom dia;7;SR33
6174;continente bom dia;8;SR33
6332;continente modelo;3;SR33
6891;continente modelo;8;SR33
6989;continente bom dia;ia;SR33
7031;continente bom dia;5;SR33
7207;continente modelo;7;SR33
7691;continente bom dia;7;R13
7695;continente modelo;7;SR24
7763;continente bom dia;7;R13
7773;continente bom dia;7;R13
7780;continente bom dia;7;SR33
7873;continente bom dia;7;SR33
7940;continente bom dia;10;SR33
8427;continente bom dia;7;R13
8466;continente bom dia;7;R13
8524;continente bom dia;8;SR24
9024;continente bom dia;3;SR33
9083;continente bom dia;8;SR33
9379;continente bom dia;3;SR33
9586;continente bom dia;7;R13
9587;continente bom dia;7;SR24
9622;continente bom dia;7;R13
9664;continente bom dia;2;SR33
9800;continente bom dia;7;R13
9805;continente bom dia;7;R13
9810;continente bom dia;7;R13
9815;continente bom dia;7;R13
9820;continente bom dia;7;R13
9825;continente bom dia;7;R13
9830;continente bom dia;7;R13
9835;continente bom dia;7;R13
9840;continente bom dia;7;R13
9845;continente bom dia;7;R13
9850;continente bom dia;7;R13
9855;continente bom dia;7;R13
9860;continente bom dia;7;R13
9865;continente bom dia;7;R13
9870;continente bom dia;7;R13
9875;continente bom dia;7;R13
9880;continente bom dia;7;R13
9885;continente bom dia;7;R13
9890;continente bom dia;7;R13
9895;continente bom dia;7;R13
9900;continente bom dia;7;R13
9905;continente bom dia;7;R13
9910;continente bom dia;7;R13
9915;continente bom dia;7;R13
9920;continente bom dia;7;R13
9925;continente bom dia;7;R13
9930;continente bom dia;7;R13
9935;continente bom dia;7;R13
9940;continente bom dia;7;R13
9945;continente bom dia;7;R13
